invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,Hour,Total,Day_of_Week,Month,Year,Week
1,WALM003,San Antonio,Health and beauty,74.69,7.0,2019-05-01,13:08:00,Ewallet,9.1,0.48,13,522.8299999999999,Wednesday,5,2019,18
2,WALM048,Harlingen,Electronic accessories,15.28,5.0,2019-08-03,10:29:00,Cash,9.6,0.48,10,76.39999999999999,Saturday,8,2019,31
3,WALM067,Haltom City,Home and lifestyle,46.33,7.0,2019-03-03,13:23:00,Credit card,7.4,0.33,13,324.31,Sunday,3,2019,9
4,WALM064,Bedford,Health and beauty,58.22,8.0,2019-01-27,20:33:00,Ewallet,8.4,0.33,20,465.76,Sunday,1,2019,4
5,WALM013,Irving,Sports and travel,86.31,7.0,2019-08-02,10:37:00,Ewallet,5.3,0.48,10,604.1700000000001,Friday,8,2019,31
6,WALM026,Denton,Electronic accessories,85.39,7.0,2019-03-25,18:30:00,Ewallet,4.1,0.48,18,597.73,Monday,3,2019,13
7,WALM088,Cleburne,Electronic accessories,68.84,6.0,2019-02-25,14:36:00,Ewallet,5.8,0.33,14,413.04,Monday,2,2019,9
8,WALM100,Canyon,Home and lifestyle,73.56,10.0,2019-02-24,11:38:00,Ewallet,8.0,0.18,11,735.6,Sunday,2,2019,8
9,WALM066,Grapevine,Health and beauty,36.26,2.0,2019-10-01,17:15:00,Credit card,7.2,0.33,17,72.52,Tuesday,10,2019,40
10,WALM065,Texas City,Food and beverages,54.84,3.0,2019-02-20,13:27:00,Credit card,5.9,0.33,13,164.52,Wednesday,2,2019,8
11,WALM013,Irving,Fashion accessories,14.48,4.0,2019-06-02,18:07:00,Ewallet,4.5,0.48,18,57.92,Sunday,6,2019,22
12,WALM035,San Angelo,Electronic accessories,25.51,4.0,2019-09-03,17:03:00,Cash,6.8,0.48,17,102.04,Tuesday,9,2019,36
13,WALM027,Abilene,Electronic accessories,46.95,5.0,2019-12-02,10:25:00,Ewallet,7.1,0.48,10,234.75,Monday,12,2019,49
14,WALM035,San Angelo,Food and beverages,43.19,10.0,2019-07-02,16:48:00,Ewallet,8.2,0.48,16,431.9,Tuesday,7,2019,27
15,WALM031,Lewisville,Health and beauty,71.38,10.0,2019-03-29,19:21:00,Cash,5.7,0.48,19,713.8,Friday,3,2019,13
16,WALM008,Corpus Christi,Sports and travel,93.72,6.0,2019-01-15,16:19:00,Cash,4.5,0.48,16,562.3199999999999,Tuesday,1,2019,3
17,WALM029,Round Rock,Health and beauty,68.93,7.0,2019-11-03,11:03:00,Credit card,4.6,0.48,11,482.51000000000005,Sunday,11,2019,44
18,WALM061,Cedar Park,Sports and travel,72.61,6.0,2019-01-01,10:39:00,Credit card,6.9,0.33,10,435.65999999999997,Tuesday,1,2019,1
19,WALM053,Conroe,Food and beverages,54.67,3.0,2019-01-21,18:00:00,Credit card,8.6,0.57,18,164.01,Monday,1,2019,4
20,WALM013,Irving,Home and lifestyle,40.3,2.0,2019-11-03,15:30:00,Ewallet,4.4,0.48,15,80.6,Sunday,11,2019,44
21,WALM044,Pharr,Electronic accessories,86.04,5.0,2019-02-25,11:24:00,Ewallet,4.8,0.48,11,430.20000000000005,Monday,2,2019,9
22,WALM088,Cleburne,Health and beauty,87.98,3.0,2019-05-03,10:40:00,Ewallet,5.1,0.33,10,263.94,Friday,5,2019,18
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2.0,2019-03-15,12:20:00,Credit card,4.4,0.33,12,66.4,Friday,3,2019,11
24,WALM067,Haltom City,Electronic accessories,34.56,5.0,2019-02-17,11:15:00,Ewallet,9.9,0.33,11,172.8,Sunday,2,2019,7
25,WALM023,Midland,Sports and travel,88.63,3.0,2019-02-03,17:36:00,Ewallet,6.0,0.48,17,265.89,Sunday,2,2019,5
26,WALM001,Houston,Home and lifestyle,52.59,8.0,2019-03-22,19:20:00,Credit card,8.5,0.36,19,420.72,Friday,3,2019,12
27,WALM072,Lancaster,Fashion accessories,33.52,1.0,2019-08-02,15:31:00,Cash,6.7,0.33,15,33.52,Friday,8,2019,31
28,WALM046,Temple,Fashion accessories,87.67,2.0,2019-10-03,12:17:00,Credit card,7.7,0.48,12,175.34,Thursday,10,2019,40
29,WALM012,Garland,Food and beverages,88.36,5.0,2019-01-25,19:48:00,Cash,9.6,0.48,19,441.8,Friday,1,2019,4
30,WALM075,San Marcos,Health and beauty,24.89,9.0,2019-03-15,15:36:00,Cash,7.4,0.33,15,224.01,Friday,3,2019,11
31,WALM076,Huntsville,Fashion accessories,94.13,5.0,2019-02-25,19:39:00,Credit card,4.8,0.33,19,470.65,Monday,2,2019,9
32,WALM098,Mineral Wells,Sports and travel,78.07,9.0,2019-01-28,12:43:00,Cash,4.5,0.18,12,702.6299999999999,Monday,1,2019,5
33,WALM021,McAllen,Sports and travel,83.78,8.0,2019-10-01,14:49:00,Cash,5.1,0.48,14,670.24,Tuesday,10,2019,40
34,WALM096,Eagle Pass,Health and beauty,96.58,2.0,2019-03-15,10:12:00,Credit card,5.1,0.18,10,193.16,Friday,3,2019,11
35,WALM022,Mesquite,Food and beverages,99.42,4.0,2019-06-02,10:42:00,Ewallet,7.5,0.48,10,397.68,Sunday,6,2019,22
36,WALM095,Big Spring,Sports and travel,68.12,1.0,2019-07-01,12:28:00,Ewallet,6.8,0.33,12,68.12,Monday,7,2019,27
37,WALM041,Mission,Sports and travel,62.62,5.0,2019-10-03,19:15:00,Ewallet,7.0,0.48,19,313.09999999999997,Thursday,10,2019,40
38,WALM070,Hurst,Electronic accessories,60.88,9.0,2019-01-15,17:17:00,Ewallet,4.7,0.33,17,547.9200000000001,Tuesday,1,2019,3
39,WALM070,Hurst,Health and beauty,54.92,8.0,2019-03-23,13:24:00,Ewallet,7.6,0.33,13,439.36,Saturday,3,2019,12
40,WALM030,Richardson,Home and lifestyle,30.12,8.0,2019-03-03,13:01:00,Cash,7.7,0.48,13,240.96,Sunday,3,2019,9
41,WALM033,Pearland,Home and lifestyle,86.72,1.0,2019-01-17,18:45:00,Ewallet,7.9,0.48,18,86.72,Thursday,1,2019,3
42,WALM088,Cleburne,Home and lifestyle,56.11,2.0,2019-02-02,10:11:00,Cash,6.3,0.33,10,112.22,Saturday,2,2019,5
43,WALM079,La Porte,Sports and travel,69.12,6.0,2019-08-02,13:03:00,Cash,5.6,0.33,13,414.72,Friday,8,2019,31
44,WALM042,Bryan,Food and beverages,98.7,8.0,2019-04-03,20:39:00,Cash,7.6,0.48,20,789.6,Wednesday,4,2019,14
45,WALM036,Allen,Health and beauty,15.37,2.0,2019-03-16,19:47:00,Cash,7.2,0.48,19,30.74,Saturday,3,2019,11
46,WALM056,Rowlett,Electronic accessories,93.96,4.0,2019-09-03,18:00:00,Cash,9.5,0.33,18,375.84,Tuesday,9,2019,36
47,WALM058,Port Arthur,Health and beauty,56.69,9.0,2019-02-27,17:24:00,Credit card,8.4,0.33,17,510.21,Wednesday,2,2019,9
48,WALM015,Grand Prairie,Food and beverages,20.01,9.0,2019-06-02,15:47:00,Ewallet,4.1,0.48,15,180.09,Sunday,6,2019,22
49,WALM063,Georgetown,Electronic accessories,18.93,6.0,2019-10-02,12:45:00,Credit card,8.1,0.33,12,113.58,Wednesday,10,2019,40
50,WALM021,McAllen,Fashion accessories,82.63,10.0,2019-03-19,17:08:00,Ewallet,7.9,0.48,17,826.3,Tuesday,3,2019,12
51,WALM089,Southlake,Food and beverages,91.4,7.0,2019-03-02,10:19:00,Cash,9.5,0.33,10,639.8000000000001,Saturday,3,2019,9
52,WALM093,Angleton,Food and beverages,44.59,5.0,2019-10-02,15:10:00,Cash,8.5,0.33,15,222.95000000000002,Wednesday,10,2019,40
53,WALM041,Mission,Fashion accessories,17.87,4.0,2019-03-22,14:42:00,Ewallet,6.5,0.48,14,71.48,Friday,3,2019,12
54,WALM045,Missouri City,Fashion accessories,15.43,1.0,2019-01-25,15:46:00,Credit card,6.1,0.48,15,15.43,Friday,1,2019,4
55,WALM005,Fort Worth,Home and lifestyle,16.16,2.0,2019-07-03,11:49:00,Ewallet,6.5,0.48,11,32.32,Wednesday,7,2019,27
